Marca temporal,"✅ Declaración de consentimiento:

Al marcar la siguiente opción, declaro que he leído y comprendido la información entregada anteriormente y acepto participar de manera voluntaria en este estudio.",Años de experiencia,Años de trabajo en el hospital,Cargo,Sala de hospital donde trabaja actualmente,Nº estimado de interacciones con psiquiatría en el último mes,El equipo de psiquiatría de enlace responde de forma oportuna a las necesidades clínicas.,Es fácil contactar y coordinar con el equipo de psiquiatría de enlace cuando se requiere su intervención.,"Las recomendaciones del equipo son claras, útiles y aplicables a la práctica médica. ",Existe una buena comunicación entre el equipo tratante y el equipo de psiquiatría de enlace. ,"El equipo de psiquiatría de enlace participa activamente en la continuidad de cuidados tras el alta hospitalaria (ej. interconsultas, derivaciones a salud mental, coordinación con la familia, etc.)",La presencia del equipo de psiquiatría de enlace mejora la calidad de la atención brindada a los pacientes.,"Me siento apoyado/a por el equipo de psiquiatría de enlace en el manejo de pacientes con alteraciones del ánimo, conducta o sospecha de delirium",El equipo de psiquiatría aporta una perspectiva biopsicosocial valiosa en el manejo clínico.,El trabajo conjunto con psiquiatría de enlace ha contribuido a reducir mi carga de trabajo o el estrés clínico.,Considero que su intervención ha disminuido conflictos o dificultades con pacientes con alteraciones conductuales.,Estoy satisfecho/a con el funcionamiento general del equipo de psiquiatría de enlace. ,Considero que este modelo debiera mantenerse y/o extenderse a otras unidades del hospital. ,¿Qué aspectos del modelo actual de psiquiatría de enlace considera más positivos?,¿Qué aspectos considera que podrían mejorarse?
24/4/2025 8:10:01,Acepto participar en este estudio.,0,0,Interno/a,Cirugía,4,De acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,Ni deacuerdo ni en desacuerdo,Ni deacuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Busqueda activa,Relación con tratantes
25/4/2025 10:25:36,Acepto participar en este estudio.,1,2 meses,Interno/a,Cirugía,1,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,"Considero que son eficientes, son adecuados y realizan intervenciones elocuentes, pertinentes que tienen gran beneficio para los cuidados de nuestros pacientes ",Considero que quizá podrían realizar seguimiento de más de un solo control de los pacientes 
25/4/2025 13:31:20,Acepto participar en este estudio.,7,3,Becado/a,Sala L,3,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,En desacuerdo,Ni deacuerdo ni en desacuerdo,Ni deacuerdo ni en desacuerdo,Ni deacuerdo ni en desacuerdo,Disponibilidad de consultar dudas a diario,Enlazar pacientes para co troles ambulatorios
27/4/2025 11:18:14,Acepto participar en este estudio.,9,3,Becado/a,Sala L,0,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Precocidad de la evaluación,Actuar como intermediador para lograr avances en las medidas ambientales de prevención de delirium en los servicios
29/4/2025 9:20:38,Acepto participar en este estudio.,5,1,Becado/a,Sala L,3,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,Ni deacuerdo ni en desacuerdo,En desacuerdo,Ni deacuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni deacuerdo ni en desacuerdo,Que sean fácilmente accesibles,"En muchos pacientes, las intervenciones que realiza el equipo son escasas y en general insuficientes "
29/4/2025 10:05:21,Acepto participar en este estudio.,7,3,Becado/a,Sala L,4,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,La disponibilidad y trabajo multiprofesional del equipo,Nada mas
29/4/2025 21:55:10,Acepto participar en este estudio.,1,1,Becado/a,Agudo,3,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,La constancia en visitas y seguimiento,No lo se
30/4/2025 7:35:16,Acepto participar en este estudio.,5,1,Becado/a,Traumatología,3,Muy de acuerdo,De acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,Ni deacuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Agilidad de respuesta,Hacerse cargo de las indicaciones psiquiátricas y no sólo sugerirlas 
30/4/2025 8:34:08,Acepto participar en este estudio.,3,2,Becado/a,Medico quirurgico cardiológico,4,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy preocupados por los pacientes. Explican de forma clara las sugerencias. Excelente equipo,Nada. Excelente trabajo 
30/4/2025 8:39:58,Acepto participar en este estudio.,13,1,Becado/a,Sala J,4,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,La presencia constante en el servicio y el interés que demuestran ,El seguimiento de los pacientes en ambulatorio 
30/4/2025 14:24:45,Acepto participar en este estudio.,7,6,Staff,Sala J,15,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,"Proactivos, amables, accesibles","Grupos muy grandes que interrumpen las visitas clínicas. Solo una psicóloga, no es suficiente para cubrir los requerimientos del servicio. Poca revaluación clínica de los pacientes. "
2/5/2025 7:56:20,Acepto participar en este estudio.,2 años de interno en HBLT,0,Interno/a,Cirugía,0,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,La visitas diarias a los servicios de medicina en busqueda de pacientes con alteraciones psiquiatricaa y/o conductuales permite una rapida intervecion que permite manejar adecuadamente pacientes que sin su valoración seria muy dificil de manejar.,Podrian evaluar la posibilidad de extender la visita a otros servicios como cirugia
7/5/2025 13:30:54,Acepto participar en este estudio.,Interno de medicina (6º año),<1,Interno/a,Sala J,20,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,En desacuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,"Lo multidisciplinario del equipo, ya que hemos recibido apoyo tanto de psiquiatras, psicologa y terapeuta ocupacional logrando un aborde integral en casos específicos con diferentes tipos de paciente. ","Explicar o definir de forma más clara las competencias del equipo de psiquiatría de enlace frente al manejo de patologías psiquiátricas en hospitalizados, ya que como equipo tratante muchas veces esperamos un manejo más activo/terapia para los pacientes que sabemos tienen conflicto de la esfera de salud mental, pero siempre queda el sentimiento que queda delegado para un manejo ambulatorio y no algo activo durante su hospitalización. Desde la ignorancia, supongo que es por la cronicidad y largos tiempos de terapia de las mismas que va más allá de recetar un fármaco, pero algunas veces en el equipo queda la sensación de un aporte algo limitado o ineficaz "
7/5/2025 21:40:37,Acepto participar en este estudio.,4,0,Becado/a,Sala L,2,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,Ni deacuerdo ni en desacuerdo,En desacuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,De acuerdo,Contacto directo diario,Listado de prestaciones o casos que puedan aportar para evitar presentar pacientes que indican no le competen
22/6/2026 18:35:39,Acepto participar en este estudio.,7,2,Becado/a,Sala J,10,De acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni deacuerdo ni en desacuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,La evaluación diaria y la disposición a escuchar problemáticas ,"Considero poca resolutividad, más allá del consejo farmacológico en delirium, muchas veces solo quedamos con el plan de manejo ambulatorio y no hay mucha ayuda en la articulación de redes. Creo que algo muy mejorable es que el seguimiento de pacientes conocidos fuera con el paciente, pues en general solo preguntan a los encargados de sala como están los pacientes antes evaluados "
