id,marca_temporal,anios_experiencia,anios_trabajo_hospital,cargo,sala,interacciones_mes,pregunta,respuesta,respuesta_num
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_responde_oportuno,De acuerdo,4
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_facil_contactar,Muy de acuerdo,5
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_recomendaciones_claras,Ni deacuerdo ni en desacuerdo,3
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_buena_comunicacion,Ni deacuerdo ni en desacuerdo,3
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_continuidad_cuidados,Ni deacuerdo ni en desacuerdo,3
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_mejora_calidad_atencion,Muy de acuerdo,5
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_apoyo_manejo_pacientes,Muy de acuerdo,5
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_perspectiva_biopsicosocial,Ni deacuerdo ni en desacuerdo,3
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_reduce_carga_trabajo,De acuerdo,4
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_disminuye_conflictos,De acuerdo,4
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_satisfaccion_general,De acuerdo,4
1,24/4/2025 8:10:01,0,0,Interno/a,Cirugía,4,q_mantener_extender_modelo,Muy de acuerdo,5
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_responde_oportuno,Muy de acuerdo,5
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_facil_contactar,De acuerdo,4
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_recomendaciones_claras,Muy de acuerdo,5
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_buena_comunicacion,Muy de acuerdo,5
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_continuidad_cuidados,Ni deacuerdo ni en desacuerdo,3
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_mejora_calidad_atencion,De acuerdo,4
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_apoyo_manejo_pacientes,De acuerdo,4
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_perspectiva_biopsicosocial,Muy de acuerdo,5
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_reduce_carga_trabajo,Ni deacuerdo ni en desacuerdo,3
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_disminuye_conflictos,De acuerdo,4
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_satisfaccion_general,Muy de acuerdo,5
2,25/4/2025 10:25:36,1,2 meses,Interno/a,Cirugía,1,q_mantener_extender_modelo,De acuerdo,4
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_responde_oportuno,De acuerdo,4
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_facil_contactar,Muy de acuerdo,5
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_recomendaciones_claras,De acuerdo,4
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_buena_comunicacion,De acuerdo,4
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_continuidad_cuidados,En desacuerdo,2
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_mejora_calidad_atencion,Ni deacuerdo ni en desacuerdo,3
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_apoyo_manejo_pacientes,De acuerdo,4
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_perspectiva_biopsicosocial,Ni deacuerdo ni en desacuerdo,3
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_reduce_carga_trabajo,En desacuerdo,2
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_disminuye_conflictos,Ni deacuerdo ni en desacuerdo,3
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_satisfaccion_general,Ni deacuerdo ni en desacuerdo,3
3,25/4/2025 13:31:20,7,3,Becado/a,Sala L,3,q_mantener_extender_modelo,Ni deacuerdo ni en desacuerdo,3
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_responde_oportuno,Muy de acuerdo,5
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_facil_contactar,Muy de acuerdo,5
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_recomendaciones_claras,De acuerdo,4
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_buena_comunicacion,Muy de acuerdo,5
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_continuidad_cuidados,Muy de acuerdo,5
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_mejora_calidad_atencion,Muy de acuerdo,5
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_apoyo_manejo_pacientes,Muy de acuerdo,5
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_perspectiva_biopsicosocial,De acuerdo,4
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_reduce_carga_trabajo,Ni deacuerdo ni en desacuerdo,3
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_disminuye_conflictos,De acuerdo,4
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_satisfaccion_general,De acuerdo,4
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_mantener_extender_modelo,Muy de acuerdo,5
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_responde_oportuno,De acuerdo,4
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_facil_contactar,Muy de acuerdo,5
